n	time	type	cur	win	id	str	win_c	id_c	str_c
0	1544	fix	9	1	2	developing	1	1	Although
1	1684	fix	16	1	2	developing	1	2	developing
2	1883	fix	25	1	3	countries	1	3	countries
3	2576	key_ins	0	2	1	S	t2	1	S
4	2641	fix	384	1	57	deforestation	2	1	Selvom
5	2940	fix	0	2	1	Selvom	2	1	Selvom
6	3500	key_ins	1	2	1	e	t2	1	e
7	3637	key_ins	2	2	1	l	t2	1	l
8	4111	key_ins	3	2	1	v	t2	1	v
9	4203	key_ins	4	2	1	o	t2	1	o
10	4440	key_ins	5	2	1	m	t2	1	m
11	4631	key_ins	6	2	1	_	t2	1	_
12	5044	key_ins	7	2	2	u	t2	2	u
13	5481	key_ins	8	2	2	-	t2	2	-
14	6019	key_ins	9	2	3	l	t2	3	l
15	6811	key_ins	10	2	3	a	t2	3	a
16	6867	fix	398	1	61	the	2	3	u-lande
17	6954	key_ins	11	2	3	n	t2	3	n
18	6967	fix	398	1	61	the	2	3	u-lande
19	7087	fix	11	2	3	lande	2	3	lande
20	7187	key_ins	12	2	3	d	t2	3	d
21	7206	fix	11	2	3	lande	2	3	lande
22	7785	fix	101	1	13	better	1	2	developing
23	8104	fix	23	1	3	countries	1	3	countries
24	8502	fix	31	1	4	are	1	4	are
25	9280	fix	123	1	16	living	1	4	are
26	9299	key_ins	13	2	3	e	t2	3	e
27	9320	fix	123	1	16	living	1	4	are
28	9459	fix	123	1	16	living	1	4	are
29	9467	key_ins	14	2	3	_	t2	3	_
30	9699	fix	118	1	15	of	1	3	countries
31	10485	key_ins	15	2	4	f	t2	4	f
32	10592	key_ins	16	2	4	o	t2	4	o
33	10737	key_ins	17	2	4	r	t2	4	r
34	11089	key_ins	18	2	4	s	t2	4	s
35	11250	key_ins	19	2	4	t	t2	4	t
36	11927	key_ins	20	2	4	å	t2	4	å
37	12455	key_ins	21	2	4	e	t2	4	e
38	12510	fix	490	1	77	are	2	4	forståeligt
39	12571	key_ins	22	2	4	l	t2	4	l
40	12589	fix	490	1	77	are	2	4	forståeligt
41	13126	key_ins	23	2	4	i	t2	4	i
42	13492	key_ins	24	2	4	g	t2	4	g
43	13588	key_ins	25	2	4	t	t2	4	t
44	14348	key_ins	26	2	4	_	t2	4	_
45	14617	key_ins	27	2	5	n	t2	5	n
46	14703	key_ins	28	2	5	o	t2	5	o
47	14822	fix	399	1	62	most	2	5	nok
48	14855	key_ins	29	2	5	k	t2	5	k
49	14862	fix	399	1	62	most	2	5	nok
50	15141	fix	29	2	5	nok	2	5	nok
51	15420	fix	32	1	4	are	1	4	are
52	15620	fix	38	1	5	understandably	1	5	understandably
53	15819	fix	48	1	5	understandably	1	5	understandably
54	16019	fix	54	1	6	reluctant	1	6	reluctant
55	16238	fix	63	1	8	compromise	1	8	compromise
56	16437	fix	55	1	6	reluctant	1	6	reluctant
57	16717	fix	61	1	7	to	1	7	to
58	16936	fix	55	1	6	reluctant	1	6	reluctant
59	17215	fix	36	1	5	understandably	1	5	understandably
60	17434	fix	36	1	5	understandably	1	5	understandably
61	17654	fix	32	1	4	are	1	4	are
62	18012	fix	56	1	6	reluctant	1	6	reluctant
63	19169	fix	166	1	25	need	1	9	their
64	19348	fix	163	1	24	change	1	8	compromise
65	19867	fix	78	1	9	their	1	9	their
66	20225	fix	98	1	12	achieving	1	12	achieving
67	20365	fix	186	1	28	economic	1	12	achieving
68	20724	fix	98	1	12	achieving	1	12	achieving
69	20983	fix	106	1	13	better	1	13	better
70	21362	fix	115	1	14	standards	1	14	standards
71	21481	fix	115	1	14	standards	1	14	standards
72	21621	fix	124	1	16	living	1	16	living
73	21860	fix	134	1	18	the	1	18	the
74	22120	fix	129	1	17	for	1	17	for
75	22419	fix	25	2	4	forstÃ¥eligt	2	4	forståeligt
76	22618	fix	29	2	5	nok	2	5	nok
77	23176	fix	29	1	3	countries	1	3	countries
78	23615	fix	65	1	8	compromise	1	8	compromise
79	23814	fix	73	1	9	their	1	9	their
80	24073	fix	63	1	8	compromise	1	8	compromise
81	24233	fix	55	1	6	reluctant	1	6	reluctant
82	24472	fix	54	1	6	reluctant	1	6	reluctant
83	25010	fix	29	2	5	nok	2	5	nok
84	25150	fix	29	2	5	nok	2	5	nok
85	25429	fix	29	2	5	nok	2	5	nok
86	25908	fix	28	2	5	nok	2	5	nok
87	26027	fix	29	2	5	nok	2	5	nok
88	26207	fix	29	2	5	nok	2	5	nok
89	26446	fix	29	2	5	nok	2	5	nok
90	26546	fix	29	2	5	nok	2	5	nok
91	26745	fix	29	2	5	nok	2	5	nok
92	26924	fix	29	2	5	nok	2	5	nok
93	27343	fix	29	2	5	nok	2	5	nok
94	27463	fix	29	2	5	nok	2	5	nok
95	27782	fix	29	2	5	nok	2	5	nok
96	28121	fix	29	2	5	nok	2	5	nok
97	28380	fix	29	2	5	nok	2	5	nok
98	28759	fix	29	2	5	nok	2	5	nok
99	29117	fix	29	2	5	nok	2	5	nok
100	29257	fix	26	2	4	forstÃ¥eligt	2	4	forståeligt
101	30194	fix	28	2	5	nok	2	5	nok
102	30195	key_ins	30	2	5	_	t2	5	_
103	30214	fix	28	2	5	nok	2	5	nok
104	30493	fix	30	2	5	nok	2	5	nok
105	30792	fix	29	2	5	nok	2	5	nok
106	31291	fix	58	1	6	reluctant	1	6	reluctant
107	31510	fix	56	1	6	reluctant	1	6	reluctant
108	31709	fix	68	1	8	compromise	1	8	compromise
109	31949	fix	76	1	9	their	1	9	their
110	35224	key_ins	31	2	6	m	t2	6	m
111	35279	key_ins	32	2	6	o	t2	6	o
112	35416	key_ins	33	2	6	d	t2	6	d
113	36027	key_ins	34	2	6	v	t2	6	v
114	36166	key_ins	35	2	6	i	t2	6	i
115	36387	key_ins	36	2	6	l	t2	6	l
116	36518	key_ins	37	2	6	l	t2	6	l
117	36710	key_ins	38	2	6	i	t2	6	i
118	37062	key_ins	39	2	6	g	t2	6	g
119	37160	key_ins	40	2	6	t	t2	6	t
120	37512	key_ins	41	2	6	_	t2	6	_
121	38368	fix	510	1	81	of	2	6	modvilligt
122	38545	key_ins	42	2	7	s	t2	7	s
123	38650	key_ins	43	2	7	å	t2	7	å
124	39250	key_ins	44	2	7	t	t2	7	t
125	39400	key_ins	45	2	7	t	t2	7	t
126	39942	fix	42	2	7	sÃ¦tter	2	7	sætter
127	39943	fix	42	2	7	sÃ¦tter	2	7	sætter
128	40062	fix	45	2	7	sÃ¦tter	2	7	sætter
129	40063	fix	45	2	7	sÃ¦tter	2	7	sætter
130	40182	fix	45	2	7	sÃ¦tter	2	7	sætter
131	40183	fix	45	2	7	sÃ¦tter	2	7	sætter
132	40338	key_del	45	2	7	t	t2	7	t
133	40361	fix	44	2	7	sÃ¦tter	2	7	sætter
134	40362	fix	44	2	7	sÃ¦tter	2	7	sætter
135	40514	key_del	44	2	7	t	t2	7	t
136	40521	fix	43	2	7	sÃ¦tter	2	7	sætter
137	40522	fix	43	2	7	sÃ¦tter	2	7	sætter
138	40643	key_del	43	2	7	å	t2	7	å
139	40660	fix	42	2	7	sÃ¦tter	2	7	sætter
140	40661	fix	42	2	7	sÃ¦tter	2	7	sætter
141	41304	key_ins	43	2	7	æ	t2	7	æ
142	41708	key_ins	44	2	7	t	t2	7	t
143	41856	key_ins	45	2	7	t	t2	7	t
144	41942	key_ins	46	2	7	e	t2	7	e
145	41997	fix	45	2	7	sÃ¦tter	2	7	sÃ¦tter
146	42171	key_ins	47	2	7	r	t2	7	r
147	42176	fix	45	2	7	sÃ¦tter	2	7	sÃ¦tter
148	42376	fix	47	2	7	sÃ¦tter	2	7	sÃ¦tter
149	42400	key_ins	48	2	7	_	t2	7	_
150	42416	fix	48	2	7	sÃ¦tter	2	7	sÃ¦tter
151	42675	fix	136	1	19	poor	1	5	understandably
152	42894	fix	55	1	6	reluctant	1	6	reluctant
153	43133	fix	64	1	8	compromise	1	8	compromise
154	43412	fix	75	1	9	their	1	9	their
155	43732	fix	165	1	24	change	1	8	compromise
156	46124	fix	48	2	7	sÃ¦tter	2	7	sætter
157	47269	key_ins	49	2	8	d	t2	8	d
158	47338	key_ins	50	2	8	e	t2	8	e
159	47530	key_ins	51	2	8	r	t2	8	r
160	47708	key_ins	52	2	8	e	t2	8	e
161	48038	key_ins	53	2	8	s	t2	8	s
162	48226	key_ins	54	2	8	_	t2	8	_
163	49811	key_ins	55	2	9	m	t2	9	m
164	49986	key_ins	56	2	9	u	t2	9	u
165	50305	key_ins	57	2	9	l	t2	9	l
166	50496	key_ins	58	2	9	i	t2	9	i
167	50801	key_ins	59	2	9	g	t2	9	g
168	50967	key_ins	60	2	9	h	t2	9	h
169	51197	key_ins	61	2	9	e	t2	9	e
170	51402	key_ins	62	2	9	d	t2	9	d
171	51564	key_ins	63	2	9	e	t2	9	e
172	51725	key_ins	64	2	9	r	t2	9	r
173	51850	key_ins	65	2	9	_	t2	9	_
174	52016	key_ins	66	2	10	f	t2	10	f
175	52160	key_ins	67	2	10	o	t2	10	o
176	52232	key_ins	68	2	10	r	t2	10	r
177	52418	key_ins	69	2	10	_	t2	10	_
178	52563	key_ins	70	2	11	a	t2	11	a
179	52684	key_ins	71	2	11	t	t2	11	t
180	52856	key_ins	72	2	11	_	t2	11	_
181	53328	key_ins	73	2	12	o	t2	12	o
182	53398	key_ins	74	2	12	p	t2	12	p
183	53686	key_ins	75	2	12	n	t2	12	n
184	53984	key_ins	76	2	12	å	t2	12	å
185	54261	key_ins	77	2	12	_	t2	12	_
186	54533	key_ins	78	2	12	n	t2	12	n
187	54649	key_ins	79	2	13	e	t2	13	e
188	54811	key_ins	80	2	13	d	t2	13	d
189	55087	key_ins	81	2	13	r	t2	13	r
190	55267	key_ins	82	2	13	e	t2	13	e
191	55438	key_ins	83	2	13	_	t2	13	_
192	56099	key_ins	84	2	14	l	t2	14	l
193	56258	key_ins	85	2	14	e	t2	14	e
194	56389	key_ins	86	2	14	v	t2	14	v
195	56514	key_ins	87	2	14	e	t2	14	e
196	57056	key_ins	88	2	14	s	t2	14	s
197	57138	key_ins	89	2	14	t	t2	14	t
198	57299	key_ins	90	2	14	a	t2	14	a
199	57564	key_ins	91	2	14	n	t2	14	n
200	57770	key_ins	92	2	14	d	t2	14	d
201	58021	key_ins	93	2	14	a	t2	14	a
202	58295	key_ins	94	2	14	d	t2	14	d
203	58455	key_ins	95	2	14	r	t2	14	r
204	58807	key_ins	96	2	14	e	t2	14	e
205	58904	fix	62	2	9	muligheder	2	9	muligheder
206	59143	fix	40	2	6	modvilligt	2	6	modvilligt
207	59342	fix	89	2	14	levestandarder	2	14	levestandarder
208	59522	fix	95	2	14	levestandarder	2	14	levestandarder
209	59821	fix	94	2	14	levestandarder	2	14	levestandarder
210	60015	key_del	96	2	14	e	t2	14	e
211	60020	fix	94	2	14	levestandarder	2	14	levestandarder
212	60180	fix	94	2	14	levestandarder	2	14	levestandarder
213	60216	key_del	95	2	14	r	t2	14	r
214	60319	fix	92	2	14	levestandarder	2	14	levestandarder
215	60618	fix	90	2	14	levestandarder	2	14	levestandarder
216	60758	key_del	94	2	14	d	t2	14	d
217	60778	fix	90	2	14	levestandarder	2	14	levestandarder
218	60898	fix	93	2	14	levestandarder	2	14	levestandarder
219	61516	key_ins	94	2	14	r	t2	14	r
220	61781	key_ins	95	2	14	d	t2	14	d
221	61961	key_ins	96	2	14	e	t2	14	e
222	62094	fix	84	2	14	levestandarder	2	14	levestandarder
223	62157	key_ins	97	2	14	r	t2	14	r
224	62173	fix	84	2	14	levestandarder	2	14	levestandarder
225	62253	fix	91	2	14	levestandarder	2	14	levestandarder
226	62513	fix	89	2	14	levestandarder	2	14	levestandarder
227	62732	fix	93	2	14	levestandarder	2	14	levestandarder
228	62951	fix	94	2	14	levestandarder	2	14	levestandarder
229	63210	fix	172	1	26	not	1	10	chances
230	63469	fix	69	1	8	compromise	1	8	compromise
231	63808	fix	80	1	10	chances	1	10	chances
232	63928	fix	81	1	10	chances	1	10	chances
233	64088	fix	88	1	11	of	1	11	of
234	64287	fix	101	1	13	better	1	13	better
235	64426	fix	92	1	12	achieving	1	12	achieving
236	64686	fix	101	1	13	better	1	13	better
237	64885	fix	108	1	14	standards	1	14	standards
238	65025	fix	121	1	16	living	1	16	living
239	65204	fix	130	1	17	for	1	17	for
240	65583	fix	126	1	16	living	1	16	living
241	65942	fix	134	1	18	the	1	18	the
242	66281	fix	86	2	14	levestandarder	2	14	levestandarder
243	66420	fix	88	2	14	levestandarder	2	14	levestandarder
244	66600	fix	78	2	12	opnÃ¥	2	12	opnå
245	66779	fix	78	2	12	opnÃ¥	2	12	opnå
246	66998	fix	81	2	13	bedre	2	13	bedre
247	67377	fix	74	2	12	opnÃ¥	2	12	opnå
248	68653	fix	79	2	13	bedre	2	13	bedre
249	68833	fix	81	2	13	bedre	2	13	bedre
250	69132	fix	81	2	13	bedre	2	13	bedre
251	69172	fix	81	2	13	bedre	2	13	bedre
252	69191	fix	81	2	13	bedre	2	13	bedre
253	69231	fix	81	2	13	bedre	2	13	bedre
254	69271	fix	81	2	13	bedre	2	13	bedre
255	69291	fix	81	2	13	bedre	2	13	bedre
256	69331	fix	81	2	13	bedre	2	13	bedre
257	69371	fix	81	2	13	bedre	2	13	bedre
258	69391	fix	79	2	13	bedre	2	13	bedre
259	69431	fix	79	2	13	bedre	2	13	bedre
260	69471	fix	79	2	13	bedre	2	13	bedre
261	69490	fix	79	2	13	bedre	2	13	bedre
262	69530	fix	79	2	13	bedre	2	13	bedre
263	69551	fix	79	2	13	bedre	2	13	bedre
264	69590	fix	79	2	13	bedre	2	13	bedre
265	69630	fix	79	2	13	bedre	2	13	bedre
266	69650	fix	79	2	13	bedre	2	13	bedre
