n	time	type	cur	win	id	str	win_c	id_c	str_c
0	874	fix	199	1	29	development	1	1	Although
1	1054	fix	18	1	2	developing	1	2	developing
2	1193	fix	19	1	2	developing	1	2	developing
3	1751	fix	14	1	2	developing	1	2	developing
4	1912	fix	14	1	2	developing	1	2	developing
5	2469	fix	12	1	2	developing	1	2	developing
6	2768	fix	28	1	3	countries	1	3	countries
7	3147	fix	41	1	5	understandably	1	5	understandably
8	3466	fix	52	1	6	reluctant	1	6	reluctant
9	4064	fix	8	1	1	Although	1	1	Although
10	4264	fix	8	1	1	Although	1	1	Although
11	4890	key_ins	0	2	1	S	t2	1	S
12	4981	fix	106	1	13	better	1	2	developing
13	5061	fix	106	1	13	better	1	2	developing
14	5100	key_ins	1	2	1	e	t2	1	e
15	5101	fix	15	1	2	developing	1	2	developing
16	5181	fix	15	1	2	developing	1	2	developing
17	5235	key_ins	2	2	1	l	t2	1	l
18	5280	fix	15	1	2	developing	1	2	developing
19	5363	key_ins	3	2	1	v	t2	1	v
20	5482	key_ins	4	2	2	o	t2	2	o
21	5579	fix	4	2	2	om	2	2	om
22	5582	key_ins	5	2	2	m	t2	2	m
23	5872	key_ins	6	2	2	_	t2	2	_
24	5998	fix	6	2	2	om	2	2	om
25	6078	fix	6	2	2	om	2	2	om
26	6178	fix	6	2	2	om	2	2	om
27	6294	key_ins	7	2	3	u	t2	3	u
28	6317	fix	7	2	3	udviklingslandene	2	3	udviklingslandene
29	6378	key_ins	8	2	3	d	t2	3	d
30	6417	fix	8	2	3	udviklingslandene	2	3	udviklingslandene
31	6537	fix	8	2	3	udviklingslandene	2	3	udviklingslandene
32	6576	fix	8	2	3	udviklingslandene	2	3	udviklingslandene
33	6627	key_ins	9	2	3	v	t2	3	v
34	6716	key_ins	10	2	3	i	t2	3	i
35	6836	fix	10	2	3	udviklingslandene	2	3	udviklingslandene
36	6886	key_ins	11	2	3	k	t2	3	k
37	6975	fix	11	2	3	udviklingslandene	2	3	udviklingslandene
38	7095	fix	11	2	3	udviklingslandene	2	3	udviklingslandene
39	7174	fix	11	2	3	udviklingslandene	2	3	udviklingslandene
40	7276	key_ins	12	2	3	l	t2	3	l
41	7294	fix	12	2	3	udviklingslandene	2	3	udviklingslandene
42	7390	key_ins	13	2	3	i	t2	3	i
43	7471	key_ins	14	2	3	n	t2	3	n
44	7513	fix	14	2	3	udviklingslandene	2	3	udviklingslandene
45	7593	fix	0	1	1	Although	1	3	countries
46	7598	key_ins	15	2	3	g	t2	3	g
47	7816	key_ins	16	2	3	s	t2	3	s
48	7972	fix	27	1	3	countries	1	3	countries
49	8092	fix	27	1	3	countries	1	3	countries
50	8271	fix	27	1	3	countries	1	3	countries
51	8390	key_ins	17	2	3	l	t2	3	l
52	8391	fix	17	2	3	udviklingslandene	2	3	udviklingslandene
53	8411	fix	17	2	3	udviklingslandene	2	3	udviklingslandene
54	8530	fix	17	2	3	udviklingslandene	2	3	udviklingslandene
55	8569	key_ins	18	2	3	a	t2	3	a
56	8610	fix	18	2	3	udviklingslandene	2	3	udviklingslandene
57	8711	key_ins	19	2	3	n	t2	3	n
58	8831	key_ins	20	2	3	d	t2	3	d
59	8869	fix	20	2	3	udviklingslandene	2	3	udviklingslandene
60	8919	key_ins	21	2	3	e	t2	3	e
61	9088	fix	14	2	3	udviklingslandene	2	3	udviklingslandene
62	9427	fix	21	2	3	udviklingslandene	2	3	udviklingslandene
63	9667	fix	21	2	3	udviklingslandene	2	3	udviklingslandene
64	9746	fix	21	2	3	udviklingslandene	2	3	udviklingslandene
65	9906	fix	21	2	3	udviklingslandene	2	3	udviklingslandene
66	9972	key_ins	22	2	3	n	t2	3	n
67	10043	key_ins	23	2	3	e	t2	3	e
68	10165	fix	128	1	17	for	1	4	are
69	10202	key_ins	24	2	3	_	t2	3	_
70	10365	fix	33	1	4	are	1	4	are
71	10584	fix	33	1	4	are	1	4	are
72	10683	fix	43	1	5	understandably	1	5	understandably
73	10743	fix	43	1	5	understandably	1	5	understandably
74	10843	fix	43	1	5	understandably	1	5	understandably
