n	time	type	cur	win	id	str	win_c	id_c	str_c
0	1606	fix	6	1	1	Although	1	1	Although
1	1805	fix	5	1	1	Although	1	1	Although
2	10837	fix	36	1	5	understandably	1	5	understandably
3	11236	fix	54	1	6	reluctant	1	6	reluctant
4	12351	key_ins	0	2	1	S	t2	1	S
5	12794	key_ins	1	2	1	e	t2	1	e
6	13012	key_ins	2	2	1	l	t2	1	l
7	13113	key_ins	3	2	1	v	t2	1	v
8	13219	key_ins	4	2	1	o	t2	1	o
9	13353	key_ins	5	2	1	m	t2	1	m
10	13588	key_ins	6	2	1	_	t2	1	_
11	13668	fix	3	2	1	Selvom	2	1	Selvom
12	14610	key_ins	7	2	2	u	t2	2	u
13	14738	key_ins	8	2	2	d	t2	2	d
14	14942	key_ins	9	2	2	v	t2	2	v
15	15013	key_ins	10	2	2	i	t2	2	i
16	15167	key_ins	11	2	2	k	t2	2	k
17	15361	key_ins	12	2	2	l	t2	2	l
18	15547	key_ins	13	2	2	i	t2	2	i
19	15630	key_ins	14	2	2	n	t2	2	n
20	15726	key_ins	15	2	2	g	t2	2	g
21	16060	key_ins	16	2	2	s	t2	2	s
22	16498	key_ins	17	2	2	l	t2	2	l
23	16519	fix	34	1	5	understandably	1	5	understandably
24	16578	key_ins	18	2	2	a	t2	2	a
25	16599	fix	34	1	5	understandably	1	5	understandably
26	16822	key_ins	19	2	2	d	t2	2	d
27	16838	fix	18	2	2	udviklingslandene	2	2	udviklingslandene
28	16978	fix	19	2	2	udviklingslandene	2	2	udviklingslandene
29	17540	key_del	19	2	2	d	t2	2	d
30	17863	key_ins	19	2	2	n	t2	2	n
31	17963	key_ins	20	2	2	d	t2	2	d
32	18134	fix	20	2	2	udviklingslandene	2	2	udviklingslandene
33	18163	key_ins	21	2	2	e	t2	2	e
34	18174	fix	20	2	2	udviklingslandene	2	2	udviklingslandene
35	18340	key_ins	22	2	2	_	t2	2	_
36	18473	fix	43	1	5	understandably	1	5	understandably
37	18653	fix	48	1	5	understandably	1	5	understandably
38	18772	fix	55	1	6	reluctant	1	6	reluctant
39	19370	fix	41	1	5	understandably	1	5	understandably
40	19889	fix	20	2	2	udviklingslandene	2	2	udviklingslandene
41	20088	fix	21	2	2	udviklingslandene	2	2	udviklingslandene
42	20188	fix	21	2	2	udviklingslandene	2	2	udviklingslandene
43	21085	fix	51	1	6	reluctant	1	6	reluctant
44	21219	key_ins	23	2	3	e	t2	3	e
45	21225	fix	51	1	6	reluctant	1	6	reluctant
46	21284	fix	57	1	6	reluctant	1	6	reluctant
47	21285	key_ins	24	2	3	r	t2	3	r
48	21304	fix	57	1	6	reluctant	1	6	reluctant
49	21444	fix	66	1	8	compromise	1	8	compromise
50	21743	fix	55	1	6	reluctant	1	6	reluctant
51	21962	fix	24	2	3	er	2	3	er
52	22244	key_ins	25	2	3	_	t2	3	_
53	22882	key_ins	26	2	4	f	t2	4	f
54	22969	key_ins	27	2	4	o	t2	4	o
55	23059	key_ins	28	2	4	r	t2	4	r
56	23297	key_ins	29	2	4	s	t2	4	s
