n	time	type	cur	win	id	str	win_c	id_c	str_c
							1	1	Although
							1	2	developing
0	3747	key_ins	0	2	1	S	t2	1	S
1	4094	key_ins	1	2	1	e	t2	1	e
2	4284	key_ins	2	2	1	l	t2	1	l
3	4652	key_ins	3	2	1	v	t2	1	v
4	4871	key_ins	4	2	1	o	t2	1	o
5	5102	key_ins	5	2	1	m	t2	1	m
6	5269	key_ins	6	2	1	_	t2	1	_
7	10354	key_ins	7	2	1	d	t2	1	d
8	10562	key_ins	8	2	1	e	t2	1	e
9	10712	key_ins	9	2	1	_	t2	1	_
10	10900	key_ins	10	2	1	l	t2	1	l
11	11051	key_ins	11	2	1	a	t2	1	a
12	11235	key_ins	12	2	1	n	t2	1	n
13	11403	key_ins	13	2	1	d	t2	1	d
14	12149	fix	101	1	13	better	1	13	better
15	12794	key_ins	14	2	1	e	t2	1	e
16	16994	key_del	14	2	1	e	t2	1	e
17	17195	key_del	13	2	1	d	t2	1	d
18	17334	key_del	12	2	1	n	t2	1	n
19	17480	key_del	11	2	1	a	t2	1	a
20	17625	key_del	10	2	1	l	t2	1	l
21	18460	key_ins	10	2	2	u	t2	2	u
22	18570	key_ins	11	2	2	d	t2	2	d
23	18824	key_ins	12	2	2	v	t2	2	v
24	19013	key_ins	13	2	2	i	t2	2	i
25	19189	key_ins	14	2	2	k	t2	2	k
26	19373	key_ins	15	2	2	l	t2	2	l
27	19564	key_ins	16	2	2	i	t2	2	i
28	19837	key_ins	17	2	2	n	t2	2	n
29	19966	key_ins	18	2	2	g	t2	2	g
30	20263	key_ins	19	2	2	s	t2	2	s
31	20478	key_ins	20	2	2	l	t2	2	l
32	20576	key_ins	21	2	2	a	t2	2	a
33	20763	key_ins	22	2	2	n	t2	2	n
34	20875	key_ins	23	2	2	d	t2	2	d
35	21085	key_ins	24	2	2	e	t2	2	e
36	22237	fix	35	1	5	understandably	1	5	understandably
37	22456	fix	41	1	5	understandably	1	5	understandably
38	22775	fix	55	1	6	reluctant	1	6	reluctant
39	27906	key_del	8	2	1	e	t2	1	e
40	28054	key_del	7	2	1	d	t2	1	d
41	29099	key_del	6	2	1	_	t2	1	_
42	34949	key_ins	22	2	2	_	t2	2	_
