n	time	type	cur	win	id	str	win_c	id_c	str_c	
601	217926	fix	115	1	14	standards	1	31	Incentives	
602	218125	fix	213	1	31	Incentives	1	31	Incentives	
603	218285	fix	224	1	33	be	1	33	be	
604	218484	fix	138	1	19	poor	1	34	offered	
605	218803	fix	236	1	36	encourage	1	36	encourage	
606	219461	fix	162	1	24	change	1	37	developing	
607	219660	fix	271	1	40	go	1	40	go	
608	219780	fix	269	1	39	to	1	39	to	
609	219900	fix	272	1	40	go	1	40	go	
610	220159	fix	189	1	28	economic	1	42	extra	
611	220179	fix	189	1	28	economic	1	43	green	
612	220318	fix	279	1	42	extra	1	42	extra	
613	220697	fix	293	1	44	mile	1	44	mile	
614	220877	fix	292	1	44	mile	1	44	mile	
615	221275	fix	271	1	40	go	1	40	go	
616	221594	fix	273	1	41	the	1	41	the	
617	221754	fix	273	1	41	the	1	41	the	
618	221913	fix	268	1	39	to	1	39	to	
619	222312	fix	281	1	42	extra	1	42	extra	
620	222651	fix	285	1	43	green	1	43	green	
621	222850	fix	288	1	43	green	1	43	green	
622	223070	fix	295	1	45	and	1	45	and	
623	223767	fix	312	1	47	clean	1	47	clean	
624	223987	fix	223	1	33	be	1	47	clean	
625	224545	fix	325	1	48	technologies	1	48	technologies	
626	224884	fix	325	1	48	technologies	1	48	technologies	
627	225303	fix	242	1	36	encourage	1	36	encourage	
628	225741	fix	243	1	36	encourage	1	36	encourage	
629	225961	fix	228	1	34	offered	1	34	offered	
630	226320	fix	122	1	16	living	1	31	Incentives	
631	226938	fix	336	1	51	could	1	51	could	
632	227356	fix	376	2	59	teknologier	2	59	teknologier	
633	227635	fix	375	2	59	teknologier	2	59	teknologier	
634	228392	key_ins	385	2	61	o	t2	61	o	
635	228978	key_ins	386	2	61	g	t2	61	g	
636	229141	key_ins	387	2	61	_	t2	61	_	
637	229283	key_ins	388	2	62	d	t2	62	d	
638	229362	key_ins	389	2	62	e	t2	62	e	
639	229535	key_ins	390	2	62	_	t2	62	_	
640	232226	key_ins	391	2	63	k	t2	63	k	
641	232441	key_ins	392	2	63	u	t2	63	u	
642	232655	key_ins	393	2	63	n	t2	63	n	
643	232795	key_ins	394	2	63	n	t2	63	n	
644	232918	key_ins	395	2	63	e	t2	63	e	
645	232998	key_ins	396	2	63	_	t2	63	_	
646	233231	key_ins	397	2	64	o	t2	64	o	
647	233333	key_ins	398	2	64	g	t2	64	g	
648	233538	key_ins	399	2	64	s	t2	64	s	
649	233659	key_ins	400	2	64	å	t2	64	å	
650	233956	key_ins	401	2	64	_	t2	64	_	
651	234514	fix	356	1	54	minimise	1	54	minimise	
652	235738	key_ins	402	2	65	h	t2	65	h	
653	235849	key_ins	403	2	65	j	t2	65	j	
654	236168	key_ins	404	2	65	æ	t2	65	æ	
655	236340	key_ins	405	2	65	l	t2	65	l	
656	236489	key_ins	406	2	65	p	t2	65	p	
657	236657	key_ins	407	2	65	e	t2	65	e	
658	236796	key_ins	408	2	65	_	t2	65	_	
659	236956	key_ins	409	2	66	m	t2	66	m	
660	237031	key_ins	410	2	66	e	t2	66	e	
661	237207	key_ins	411	2	66	d	t2	66	d	
662	237357	key_ins	412	2	66	_	t2	66	_	
663	237446	key_ins	413	2	67	a	t2	67	a	
664	237529	key_ins	414	2	67	t	t2	67	t	
665	237663	key_ins	415	2	67	_	t2	67	_	
666	237983	key_ins	416	2	68	m	t2	68	m	
667	238150	key_ins	417	2	68	i	t2	68	i	
668	238346	key_ins	418	2	68	n	t2	68	n	
669	238521	key_ins	419	2	68	d	t2	68	d	
670	238572	key_ins	420	2	68	s	t2	68	s	
671	239076	key_ins	421	2	68	k	t2	68	k	
672	239189	key_ins	422	2	68	e	t2	68	e	
673	239309	key_ins	423	2	68	_	t2	68	_	
674	240953	fix	450	1	69	contributed	1	54	minimise	
675	243007	fix	376	1	57	deforestation	1	57	deforestation	
676	243545	fix	375	1	57	deforestation	1	57	deforestation	
677	244024	fix	361	1	55	emissions	1	55	emissions	
678	244682	fix	423	2	68	mindske	2	68	mindske	
679	244961	fix	420	2	68	mindske	2	68	mindske	
680	245758	fix	360	1	55	emissions	1	55	emissions	
681	246536	fix	265	1	38	countries	1	55	emissions	
682	249147	fix	262	1	38	countries	1	55	emissions	
683	249307	fix	357	1	55	emissions	1	55	emissions	
684	250304	fix	267	1	39	to	1	55	emissions	
685	250423	fix	362	1	55	emissions	1	55	emissions	
686	251002	fix	363	1	55	emissions	1	55	emissions	
687	251161	fix	361	1	55	emissions	1	55	emissions	
688	251400	fix	359	1	55	emissions	1	55	emissions	
689	251719	fix	359	1	55	emissions	1	55	emissions	
690	252218	fix	275	1	41	the	1	56	from	
691	252497	fix	267	1	39	to	1	55	emissions	
692	253744	key_ins	424	2	69	u	t2	69	u	
693	253895	key_ins	425	2	69	d	t2	69	d	
694	254097	key_ins	426	2	69	s	t2	69	s	
695	254278	key_ins	427	2	69	i	t2	69	i	
696	254419	key_ins	428	2	69	v	t2	69	v	
697	254697	key_ins	429	2	69	n	t2	69	n	
698	254783	key_ins	430	2	69	i	t2	69	i	
699	254970	key_ins	431	2	69	n	t2	69	n	
700	255055	key_ins	432	2	69	g	t2	69	g	
701	255797	key_ins	433	2	69	e	t2	69	e	
702	255840	key_ins	434	2	69	r	t2	69	r	
703	255917	key_ins	435	2	69	_	t2	69	_	
704	256301	key_ins	436	2	70	f	t2	70	f	
705	256478	key_ins	437	2	70	r	t2	70	r	
706	256569	key_ins	438	2	70	a	t2	70	a	
707	256636	key_ins	439	2	70	_	t2	70	_	
708	257661	fix	477	1	74	change	1	57	deforestation	
709	261788	fix	376	1	57	deforestation	1	57	deforestation	
710	262186	fix	376	1	57	deforestation	1	57	deforestation	
711	262346	fix	376	1	57	deforestation	1	57	deforestation	
712	262545	fix	377	1	57	deforestation	1	57	deforestation	
713	262745	fix	377	1	57	deforestation	1	57	deforestation	
714	262924	fix	300	1	46	implement	1	46	implement	
715	263123	fix	353	1	54	minimise	1	54	minimise	
716	263303	fix	360	1	55	emissions	1	55	emissions	
717	263502	fix	360	1	55	emissions	1	55	emissions	
718	264838	fix	146	1	21	action	1	34	offered	
719	265576	fix	239	1	36	encourage	1	36	encourage	
720	265994	fix	260	1	38	countries	1	38	countries	
721	267769	fix	149	1	22	on	1	36	encourage	
722	271557	fix	420	2	68	mindske	2	68	mindske	
723	273515	key_ins	440	2	71	s	t2	71	s	
724	274062	key_ins	441	2	71	k	t2	71	k	
725	274111	key_ins	442	2	71	o	t2	71	o	
726	276142	fix	442	2	71	skovudrydelser	2	71	skovudrydelser	
727	276772	key_ins	443	2	71	v	t2	71	v	
728	278578	key_ins	444	2	71	u	t2	71	u	
729	278677	key_ins	445	2	71	d	t2	71	d	
730	278846	key_ins	446	2	71	r	t2	71	r	
731	279059	key_ins	447	2	71	y	t2	71	y	
732	279304	key_ins	448	2	71	d	t2	71	d	
733	279389	key_ins	449	2	71	e	t2	71	e	
734	279558	key_ins	450	2	71	l	t2	71	l	
735	279677	key_ins	451	2	71	s	t2	71	s	
736	280076	key_ins	452	2	71	e	t2	71	e	
737	281086	key_ins	453	2	71	r	t2	71	r	
738	288342	key_ins	454	2	72	.	t2	72	.	
739	289181	key_ins	455	2	72	_	t2	72	_	
740	290775	key_ins	456	2	73	N	t2	73	N	
741	290981	key_ins	457	2	73	o	t2	73	o	
742	291174	key_ins	458	2	73	g	t2	73	g	
743	291329	key_ins	459	2	73	l	t2	73	l	
744	291407	key_ins	460	2	73	e	t2	73	e	
745	291566	key_ins	461	2	73	_	t2	73	_	
746	291713	key_ins	462	2	74	a	t2	74	a	
747	291811	key_ins	463	2	74	f	t2	74	f	
748	292011	key_ins	464	2	74	_	t2	74	_	
749	292206	key_ins	465	2	75	d	t2	75	d	
750	292268	key_ins	466	2	75	e	t2	75	e	
751	292418	key_ins	467	2	75	_	t2	75	_	
752	292704	key_ins	468	2	76	m	t2	76	m	
753	292792	key_ins	469	2	76	e	t2	76	e	
754	292980	key_ins	470	2	76	s	t2	76	s	
755	293148	key_ins	471	2	76	t	t2	76	t	
756	293824	key_ins	472	2	76	_	t2	76	_	
757	294863	fix	336	1	51	could	1	67	world	
758	296216	key_ins	473	2	76	s	t2	76	s	
759	296370	key_ins	474	2	76	k	t2	76	k	
760	296572	key_ins	475	2	76	r	t2	76	r	
761	297067	key_ins	476	2	76	ø	t2	76	ø	
762	297572	key_ins	477	2	76	b	t2	76	b	
763	297665	key_ins	478	2	76	e	t2	76	e	
764	297755	key_ins	479	2	76	l	t2	76	l	
765	298105	key_del	479	2	76	l	t2	76	l	
766	298588	key_del	478	2	76	e	t2	76	e	
767	298620	key_del	477	2	76	b	t2	76	b	
768	298647	key_del	476	2	76	ø	t2	76	ø	
769	298681	key_del	475	2	76	r	t2	76	r	
770	298713	key_del	474	2	76	k	t2	76	k	
771	298745	key_del	473	2	76	s	t2	76	s	
772	298776	key_del	472	2	76	_	t2	76	_	
773	300084	key_ins	472	2	76	_	t2	76	_	
774	302439	fix	294	1	45	and	1	63	vulnerable	
775	302978	fix	420	1	64	countries	1	64	countries	
776	303675	fix	440	1	68	have	1	68	have	
777	303975	fix	446	1	69	contributed	1	69	contributed	
778	304912	fix	468	2	76	mest	2	76	mest	
779	305071	fix	468	2	76	mest	2	76	mest	
780	305211	fix	468	2	76	mest	2	76	mest	
781	305589	fix	457	2	73	Nogle	2	73	Nogle	
782	305988	fix	457	2	73	Nogle	2	73	Nogle	
783	306646	fix	455	2	72	.	2	72	.	
784	306885	fix	456	2	73	Nogle	2	73	Nogle	
785	307065	fix	455	2	72	.	2	72	.	
786	307344	fix	456	2	73	Nogle	2	73	Nogle	
787	311870	fix	472	1	73	climate	1	73	climate	
788	312029	fix	473	1	73	climate	1	73	climate	
789	313026	fix	472	2	76	mest	2	76	mest	
790	313931	key_ins	473	2	77	s	t2	77	s	
791	314030	key_ins	474	2	77	k	t2	77	k	
792	314124	key_ins	475	2	77	r	t2	77	r	
793	314395	key_ins	476	2	77	ø	t2	77	ø	
794	314764	key_ins	477	2	77	b	t2	77	b	
795	314828	key_ins	478	2	77	e	t2	77	e	
796	314979	key_ins	479	2	77	l	t2	77	l	
797	315143	key_ins	480	2	77	i	t2	77	i	
798	315280	key_ins	481	2	77	g	t2	77	g	
799	315334	key_ins	482	2	77	e	t2	77	e	
800	315465	key_ins	483	2	77	_	t2	77	_	
801	315679	key_ins	484	2	78	l	t2	78	l	
802	315785	key_ins	485	2	78	a	t2	78	a	
803	315934	key_ins	486	2	78	n	t2	78	n	
804	316117	key_ins	487	2	78	d	t2	78	d	
805	316186	key_ins	488	2	78	e	t2	78	e	
806	316451	key_ins	489	2	78	_	t2	78	_	
807	317279	key_ins	490	2	79	i	t2	79	i	
808	317546	key_ins	491	2	79	_	t2	79	_	
809	317779	key_ins	492	2	80	v	t2	80	v	
810	317888	key_ins	493	2	80	e	t2	80	e	
811	317942	key_ins	494	2	80	r	t2	80	r	
812	318188	key_ins	495	2	80	d	t2	80	d	
813	318250	key_ins	496	2	80	e	t2	80	e	
814	318421	key_ins	497	2	80	n	t2	80	n	
815	320249	key_ins	498	2	80	_	t2	80	_	
816	320724	key_ins	499	2	81	h	t2	81	h	
817	320835	key_ins	500	2	81	a	t2	81	a	
818	320910	key_ins	501	2	81	r	t2	81	r	
819	321064	key_ins	502	2	81	_	t2	81	_	
820	321898	fix	449	1	69	contributed	1	69	contributed	
821	322697	key_ins	503	2	82	b	t2	82	b	
822	323181	key_ins	504	2	82	i	t2	82	i	
823	323339	key_ins	505	2	82	d	t2	82	d	
824	323880	key_ins	506	2	82	r	t2	82	r	
825	323993	key_ins	507	2	82	a	t2	82	a	
826	324290	key_ins	508	2	82	g	t2	82	g	
827	324332	key_ins	509	2	82	e	t2	82	e	
828	324598	key_ins	510	2	82	t	t2	82	t	
829	324766	key_ins	511	2	82	_	t2	82	_	
830	326594	key_ins	512	2	83	m	t2	83	m	
831	326807	key_ins	513	2	83	i	t2	83	i	
832	327073	key_ins	514	2	83	n	t2	83	n	
833	327241	key_ins	515	2	83	d	t2	83	d	
834	327334	key_ins	516	2	83	s	t2	83	s	
835	327563	key_ins	517	2	83	t	t2	83	t	
836	328019	fix	471	1	73	climate	1	73	climate	
837	328051	key_ins	518	2	83	_	t2	83	_	
838	328059	fix	471	1	73	climate	1	73	climate	
839	328262	key_ins	519	2	84	t	t2	84	t	
840	328404	key_ins	520	2	84	i	t2	84	i	
841	328493	key_ins	521	2	84	l	t2	84	l	
842	328882	key_ins	522	2	84	_	t2	84	_	
843	331044	key_ins	523	2	85	k	t2	85	k	
844	331115	key_ins	524	2	85	l	t2	85	l	
845	331324	key_ins	525	2	85	i	t2	85	i	
846	331513	key_ins	526	2	85	m	t2	85	m	
847	331697	key_ins	527	2	85	a	t2	85	a	
848	332723	key_ins	528	2	85	æ	t2	85	æ	
849	333292	key_ins	529	2	85	n	t2	85	n	
850	333518	key_ins	530	2	85	d	t2	85	d	
851	333718	key_ins	531	2	85	r	t2	85	r	
852	333876	key_ins	532	2	85	i	t2	85	i	
853	334109	key_ins	533	2	85	n	t2	85	n	
854	334186	key_ins	534	2	85	g	t2	85	g	
855	334593	key_ins	535	2	85	e	t2	85	e	
856	334672	key_ins	536	2	85	r	t2	85	r	
857	334786	key_ins	537	2	85	n	t2	85	n	
858	334792	key_ins	538	2	85	e	t2	85	e	
859	335741	key_del	538	2	85	e	t2	85	e	
860	335918	key_del	537	2	85	n	t2	85	n	
861	337688	fix	198	2	30	vedrÃ¸rer	2	30	vedrører	
862	337788	fix	198	2	30	vedrÃ¸rer	2	30	vedrører	
863	339423	fix	210	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
864	339463	fix	210	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
865	339502	fix	210	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
866	339522	fix	210	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
867	339562	fix	210	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
868	339622	fix	210	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
869	339662	fix	210	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
870	339682	fix	210	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
871	339722	fix	210	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
872	339762	fix	210	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
873	339782	fix	211	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
874	339821	fix	211	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
875	339861	fix	211	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
876	339881	fix	211	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
877	339921	fix	211	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
878	339981	fix	211	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
879	340021	fix	211	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
880	340061	fix	211	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
881	340081	fix	211	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
882	340120	fix	211	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
883	340180	fix	211	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
884	340579	fix	211	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
885	340719	fix	211	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
886	341018	fix	211	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
887	341038	fix	211	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
888	341317	fix	211	2	31	klimaÃ¦ndringer	2	31	klimaændringer	
889	342321	key_del	209	2	30	_	t2	30	_	
890	342464	key_del	208	2	30	ø	t2	30	ø	
891	342612	key_del	207	2	30	j	t2	30	j	
892	342766	key_del	206	2	30	l	t2	30	l	
893	342881	key_del	205	2	30	i	t2	30	i	
894	343021	key_del	204	2	30	m	t2	30	m	
895	343793	key_ins	204	2	31	k	t2	31	k	
896	343861	key_ins	205	2	31	l	t2	31	l	
897	344084	key_ins	206	2	31	i	t2	31	i	
898	344263	key_ins	207	2	31	m	t2	31	m	
899	344369	key_ins	208	2	31	a	t2	31	a	
900	346740	fix	530	2	85	klimaÃ¦ndringer	2	85	klimaændringer	
901	346760	fix	530	2	85	klimaÃ¦ndringer	2	85	klimaændringer	
902	346799	fix	530	2	85	klimaÃ¦ndringer	2	85	klimaændringer	
903	346819	fix	530	2	85	klimaÃ¦ndringer	2	85	klimaændringer	
904	346859	fix	530	2	85	klimaÃ¦ndringer	2	85	klimaændringer	
905	346879	fix	530	2	85	klimaÃ¦ndringer	2	85	klimaændringer	
906	346919	fix	530	2	85	klimaÃ¦ndringer	2	85	klimaændringer	
907	346959	fix	530	2	85	klimaÃ¦ndringer	2	85	klimaændringer	
908	346979	fix	530	2	85	klimaÃ¦ndringer	2	85	klimaændringer	
909	347178	fix	527	2	85	klimaÃ¦ndringer	2	85	klimaændringer	
910	347218	fix	527	2	85	klimaÃ¦ndringer	2	85	klimaændringer	
911	347258	fix	527	2	85	klimaÃ¦ndringer	2	85	klimaændringer	
912	347278	fix	527	2	85	klimaÃ¦ndringer	2	85	klimaændringer	
913	347477	fix	535	2	85	klimaÃ¦ndringer	2	85	klimaændringer	
914	347517	fix	535	2	85	klimaÃ¦ndringer	2	85	klimaændringer	
915	347537	fix	535	2	85	klimaÃ¦ndringer	2	85	klimaændringer	
916	347896	fix	535	2	85	klimaÃ¦ndringer	2	85	klimaændringer	
917	348195	fix	294	1	45	and	1	76	but	
918	351207	key_ins	536	2	86	,	t2	86	,	
919	351427	key_ins	537	2	86	_	t2	86	_	
920	351592	key_ins	538	2	87	m	t2	87	m	
921	351677	key_ins	539	2	87	e	t2	87	e	
922	351779	key_ins	540	2	87	n	t2	87	n	
923	351926	key_ins	541	2	87	_	t2	87	_	
924	352028	key_ins	542	2	88	d	t2	88	d	
925	352099	key_ins	543	2	88	e	t2	88	e	
926	352268	key_ins	544	2	88	_	t2	88	_	
927	352457	key_ins	545	2	89	l	t2	89	l	
928	352639	key_ins	546	2	89	i	t2	89	i	
929	352832	key_ins	547	2	89	d	t2	89	d	
930	352892	key_ins	548	2	89	e	t2	89	e	
931	353067	key_ins	549	2	89	r	t2	89	r	
932	353210	key_ins	550	2	89	_	t2	89	_	
933	353962	key_ins	551	2	90	o	t2	90	o	
934	354074	key_ins	552	2	90	g	t2	90	g	
935	354272	key_ins	553	2	90	s	t2	90	s	
936	354384	key_ins	554	2	90	å	t2	90	å	
937	354720	key_ins	555	2	90	_	t2	90	_	
938	365461	fix	415	1	64	countries	1	80	bunt	
939	366278	fix	546	2	89	lider	2	89	lider	
940	367358	key_ins	556	2	91	u	t2	91	u	
941	367707	key_ins	557	2	91	n	t2	91	n	
942	367817	key_ins	558	2	91	d	t2	91	d	
943	367884	key_ins	559	2	91	e	t2	91	e	
944	368034	key_ins	560	2	91	r	t2	91	r	
945	368186	key_ins	561	2	91	_	t2	91	_	
946	368426	key_ins	562	2	92	d	t2	92	d	
947	368480	key_ins	563	2	92	e	t2	92	e	
948	368655	key_ins	564	2	92	t	t2	92	t	
949	368809	key_ins	565	2	93	.	t2	93	.	
950	369224	key_ins	566	2	93	_	t2	93	_	
951	371425	key_ins	567	2	96	L	t2	96	L	
952	371608	key_ins	568	2	97	a	t2	97	a	
953	371750	key_ins	569	2	97	n	t2	97	n	
954	371868	key_ins	570	2	97	d	t2	97	d	
955	371931	key_ins	571	2	97	e	t2	97	e	
956	372043	key_ins	572	2	97	_	t2	97	_	
957	372258	key_ins	573	2	98	u	t2	98	u	
958	372450	key_ins	574	2	98	n	t2	98	n	
959	372506	key_ins	575	2	98	d	t2	98	d	
960	372557	key_ins	576	2	98	e	t2	98	e	
961	372712	key_ins	577	2	98	r	t2	98	r	
962	372778	key_ins	578	2	98	_	t2	98	_	
963	373008	key_ins	579	2	99	u	t2	99	u	
964	373135	key_ins	580	2	99	d	t2	99	d	
965	373385	key_ins	581	2	99	v	t2	99	v	
966	373582	key_ins	582	2	99	i	t2	99	i	
967	373770	key_ins	583	2	99	k	t2	99	k	
968	373942	key_ins	584	2	99	l	t2	99	l	
969	374121	key_ins	585	2	99	i	t2	99	i	
970	375118	key_ins	586	2	99	n	t2	99	n	
971	375282	key_ins	587	2	99	g	t2	99	g	
972	379023	key_ins	567	2	94	D	t2	94	D	
973	379278	key_ins	568	2	94	e	t2	94	e	
974	379349	key_ins	569	2	94	t	t2	94	t	
975	379439	key_ins	570	2	94	_	t2	94	_	
976	379538	key_ins	571	2	95	e	t2	95	e	
977	379618	key_ins	572	2	95	r	t2	95	r	
978	379701	key_ins	573	2	95	_	t2	95	_	
979	380415	key_ins	574	2	96	s	t2	96	s	
980	380614	key_ins	575	2	96	p	t2	96	p	
981	380699	key_ins	576	2	96	e	t2	96	e	
982	380950	key_ins	577	2	96	c	t2	96	c	
983	381122	key_ins	578	2	96	i	t2	96	i	
984	381245	key_ins	579	2	96	e	t2	96	e	
985	381390	key_ins	580	2	96	l	t2	96	l	
986	381530	key_ins	581	2	96	t	t2	96	t	
987	382148	key_ins	582	2	96	_	t2	96	_	
988	382760	key_del	583	2	96	L	t2	96	L	
989	383172	key_ins	583	2	97	l	t2	97	l	
990	384733	key_ins	604	2	99	_	t2	99	_	
991	385383	key_ins	605	2	100	d	t2	100	d	
992	385447	key_ins	606	2	100	e	t2	100	e	
993	385608	key_ins	607	2	100	r	t2	100	r	
994	385832	key_ins	608	2	100	_	t2	100	_	
995	388197	key_ins	609	2	101	h	t2	101	h	
996	388293	key_ins	610	2	101	a	t2	101	a	
997	388333	key_ins	611	2	101	r	t2	101	r	
998	388434	key_ins	612	2	101	_	t2	101	_	
999	388564	key_ins	613	2	102	e	t2	102	e	
1000	388647	key_ins	614	2	102	t	t2	102	t	
1001	388707	key_ins	615	2	102	_	t2	102	_	
1002	389013	key_ins	616	2	103	b	t2	103	b	
1003	389166	key_ins	617	2	103	e	t2	103	e	
1004	389466	key_ins	618	2	103	h	t2	103	h	
1005	389719	key_ins	619	2	103	o	t2	103	o	
1006	391320	key_ins	620	2	103	v	t2	103	v	
1007	391671	key_ins	621	2	103	_	t2	103	_	
1008	391861	key_ins	622	2	103	f	t2	103	f	
1009	392167	key_del	622	2	103	f	t2	103	f	
1010	392904	key_ins	622	2	104	f	t2	104	f	
1011	393243	key_ins	623	2	104	o	t2	104	o	
1012	393377	key_ins	624	2	104	r	t2	104	r	
1013	393600	key_ins	625	2	104	_	t2	104	_	
1014	394116	key_ins	626	2	105	a	t2	105	a	
1015	394219	key_ins	627	2	105	t	t2	105	t	
1016	394484	key_ins	628	2	105	_	t2	105	_	
1017	399821	key_ins	629	2	106	t	t2	106	t	
1018	399953	key_ins	630	2	106	i	t2	106	i	
1019	400156	key_ins	631	2	106	l	t2	106	l	
1020	400328	key_ins	632	2	106	p	t2	106	p	
1021	400488	key_ins	633	2	106	a	t2	106	a	
1022	400525	key_ins	634	2	106	s	t2	106	s	
1023	400726	key_ins	635	2	106	s	t2	106	s	
1024	400912	key_ins	636	2	106	e	t2	106	e	
1025	401083	key_ins	637	2	106	_	t2	106	_	
1026	401780	key_ins	638	2	107	s	t2	107	s	
1027	402038	key_ins	639	2	107	i	t2	107	i	
1028	402221	key_ins	640	2	107	g	t2	107	g	
1029	402411	key_ins	641	2	107	_	t2	107	_	
1030	404384	key_ins	642	2	107	c	t2	107	c	
1031	404474	key_ins	643	2	108	l	t2	108	l	
1032	404673	key_ins	644	2	108	i	t2	108	i	
1033	404885	key_ins	645	2	108	m	t2	108	m	
1034	405001	key_ins	646	2	108	a	t2	108	a	
1035	405683	key_ins	647	2	108	æ	t2	108	æ	
1036	405958	key_ins	648	2	108	n	t2	108	n	
1037	406108	key_ins	649	2	108	d	t2	108	d	
1038	406290	key_ins	650	2	108	r	t2	108	r	
1039	406442	key_ins	651	2	108	i	t2	108	i	
1040	406693	key_ins	652	2	108	n	t2	108	n	
1041	406753	key_ins	653	2	108	g	t2	108	g	
1042	406970	key_ins	654	2	108	e	t2	108	e	
1043	407046	key_ins	655	2	108	r	t2	108	r	
1044	407267	key_ins	656	2	108	n	t2	108	n	
1045	407388	key_ins	657	2	108	e	t2	108	e	
1046	407600	key_ins	658	2	108	s	t2	108	s	
1047	407775	key_ins	659	2	108	_	t2	108	_	
1048	411149	key_ins	660	2	108	k	t2	108	k	
1049	411199	key_ins	661	2	108	o	t2	108	o	
1050	411841	key_ins	662	2	108	n	t2	108	n	
1051	412210	key_ins	663	2	108	s	t2	108	s	
1052	412436	key_ins	664	2	108	e	t2	108	e	
1053	412711	key_del	664	2	108	e	t2	108	e	
1054	412874	key_del	663	2	108	s	t2	108	s	
1055	413068	key_del	662	2	108	n	t2	108	n	
1056	413225	key_del	661	2	108	o	t2	108	o	
1057	413401	key_del	660	2	108	k	t2	108	k	
1058	417836	key_del	642	2	107	c	t2	107	c	
1059	418245	key_ins	642	2	108	k	t2	108	k	
1060	421603	fix	582	1	95	effects	1	95	effects	
1061	424622	key_ins	660	2	109	k	t2	109	k	
1062	424798	key_ins	661	2	109	o	t2	109	o	
1063	425039	key_ins	662	2	109	n	t2	109	n	
1064	425179	key_ins	663	2	109	s	t2	109	s	
1065	425351	key_ins	664	2	109	e	t2	109	e	
1066	425515	key_ins	665	2	109	k	t2	109	k	
1067	425844	key_ins	666	2	109	v	t2	109	v	
1068	425943	key_ins	667	2	109	e	t2	109	e	
1069	426076	key_ins	668	2	109	n	t2	109	n	
1070	426207	key_ins	669	2	109	s	t2	109	s	
1071	426411	key_ins	670	2	109	e	t2	109	e	
1072	426514	key_ins	671	2	109	r	t2	109	r	
1073	427413	key_ins	672	2	110	.	t2	110	.	
1074	427612	key_ins	673	2	110	_	t2	110	_	
1075	427962	key_ins	674	2	111	T	t2	111	T	
1076	428138	key_ins	675	2	111	i	t2	111	i	
1077	428317	key_ins	676	2	111	l	t2	111	l	
1078	428663	key_ins	677	2	111	p	t2	111	p	
1079	428826	key_ins	678	2	111	a	t2	111	a	
1080	428830	key_ins	679	2	111	s	t2	111	s	
1081	429135	key_ins	680	2	111	n	t2	111	n	
1082	429210	key_ins	681	2	111	i	t2	111	i	
1083	429351	key_ins	682	2	111	n	t2	111	n	
1084	429478	key_ins	683	2	111	g	t2	111	g	
1085	429663	key_ins	684	2	111	_	t2	111	_	
1086	430707	key_ins	685	2	111	o	t2	111	o	
1087	430857	key_ins	686	2	111	g	t2	111	g	
1088	431037	key_ins	687	2	111	_	t2	111	_	
1089	436736	fix	61	2	8	tilbageholdende	1	102	mitigation	
1090	454772	key_del	687	2	111	_	t2	111	_	
1091	454947	key_del	686	2	111	g	t2	111	g	
1092	455454	key_del	685	2	111	o	t2	111	o	
1093	461624	key_ins	685	2	116	s	t2	116	s	
1094	463073	key_ins	686	2	116	k	t2	116	k	
1095	463193	key_ins	687	2	116	a	t2	116	a	
1096	463295	key_ins	688	2	116	l	t2	116	l	
1097	463665	key_ins	689	2	116	_	t2	116	_	
1098	463910	key_ins	690	2	117	d	t2	117	d	
1099	463997	key_ins	691	2	117	e	t2	117	e	
1100	464143	key_ins	692	2	117	r	t2	117	r	
1101	464359	key_ins	693	2	117	f	t2	117	f	
1102	464875	key_ins	694	2	117	o	t2	117	o	
1103	464990	key_ins	695	2	117	r	t2	117	r	
1104	467584	key_ins	685	2	112	o	t2	112	o	
1105	467709	key_ins	686	2	112	g	t2	112	g	
1106	467849	key_ins	687	2	112	_	t2	112	_	
1107	469612	fix	677	2	111	Tilpasning	2	111	Tilpasning	
1108	469911	fix	578	2	96	specielt	2	111	Tilpasning	
1109	470290	fix	682	2	111	Tilpasning	2	111	Tilpasning	
1110	473548	key_ins	688	2	112	f	t2	112	f	
